Name ,Adress,Coordinates ,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
Braddock Elementary School,"7825 Heritage Dr., Annandale 22003",,38.82247,-77.215531,1,rooftop,7825,Heritage Dr,,,Annandale,VA,Fairfax County,22003,US,Fairfax
North Springfield Elementary School,"7602 Heming Ct., Springfield 22151",,38.801149,-77.207201,1,rooftop,7602,Heming Ct,,,Springfield,VA,Fairfax County,22151,US,Fairfax
Langley High School,"6520 Georgetown Pike, McLean 22101",,38.949892,-77.166183,1,rooftop,6520,Georgetown Pike,,,Mc Lean,VA,Fairfax County,22101,US,Fairfax
Chesterbrook Elementary School,"1753 Kirby Rd., McLean 22101",,38.918868,-77.155368,1,rooftop,1753,Kirby Rd,,,Mc Lean,VA,Fairfax County,22101,US,Fairfax
Churchill Road Elementary School,"7100 Churchill Rd., McLean 22101",,38.946448,-77.189421,1,rooftop,7100,Churchill Rd,,,Mc Lean,VA,Fairfax County,22101,US,Fairfax
Haycock Elementary School,"6616 Haycock Rd., Falls Church 22043",,38.903873,-77.173541,1,rooftop,6616,Haycock Rd,,,Falls Church,VA,Fairfax County,22043,US,Fairfax
McLean High School,"1633 Davidson Rd., McLean 22101",,38.923566,-77.186277,1,rooftop,1633,Davidson Rd,,,Mc Lean,VA,Fairfax County,22101,US,Fairfax
Longfellow Middle School,"2000 Westmoreland St., Falls Church 22043",,38.909465,-77.174832,1,rooftop,2000,Westmoreland St,,,Falls Church,VA,Fairfax County,22043,US,Fairfax
Lewinsville Senior Center,"1613 Great Falls St., McLean 22101",,38.927279,-77.194636,1,rooftop,1613,Great Falls St,,,Mc Lean,VA,Fairfax County,22101,US,Fairfax
Pimmit Hills Center,"7510 Lisle Ave., Falls Church 22043",,38.916588,-77.204961,1,rooftop,7510,Lisle Ave,,,Falls Church,VA,Fairfax County,22043,US,Fairfax
Franklin Sherman Elementary School,"6633 Brawner St., McLean 22101",,38.935068,-77.174667,1,rooftop,6633,Brawner St,,,Mc Lean,VA,Fairfax County,22101,US,Fairfax
Kent Gardens Elementary School,"1717 Melbourne Dr., McLean 22101",,38.921407,-77.175581,1,rooftop,1717,Melbourne Dr,,,Mc Lean,VA,Fairfax County,22101,US,Fairfax
Lemon Road Elementary School,"7230 Idylwood Rd., Falls Church 22043",,38.903816,-77.195192,1,rooftop,7230,Idylwood Rd,,,Falls Church,VA,Fairfax County,22043,US,Fairfax
Bush Hill Elementary School,"5927 Westchester St., Alexandria 22310",,38.790053,-77.12415,1,rooftop,5927,Westchester St,,,Alexandria,VA,Fairfax County,22310,US,Fairfax
Cameron Elementary School,"3434 Campbell Dr., Alexandria 22303",,38.800417,-77.091131,1,rooftop,3434,Campbell Dr,,,Alexandria,VA,Fairfax County,22303,US,Fairfax
Edison High School,"5801 Franconia Rd., Alexandria 22310",,38.783268,-77.133657,1,rooftop,5801,Franconia Rd,,,Alexandria,VA,Fairfax County,22310,US,Fairfax
Groveton Elementary School,"6900 Harrison Ln., Alexandria 22306",,38.768826,-77.095008,1,rooftop,6900,Harrison Ln,,,Alexandria,VA,Fairfax County,22306,US,Fairfax
Hayfield Elementary School,"7633 Telegraph Rd., Alexandria 22315",,38.749151,-77.140468,1,rooftop,7633,Telegraph Rd,,,Alexandria,VA,Fairfax County,22315,US,Fairfax
Mount Eagle Elementary School,"6116 North Kings Hwy., Alexandria 22303",,38.785113,-77.078501,1,rooftop,6116,N Kings Hwy,,,Alexandria,VA,Fairfax County,22303,US,Fairfax
Lewis High School,"6540 Franconia Rd., Springfield 22150",,38.780668,-77.170086,1,rooftop,6540,Franconia Rd,,,Springfield,VA,Fairfax County,22150,US,Fairfax
Rose Hill Elementary School,"6301 Rose Hill Dr., Alexandria 22310",,38.78183,-77.117707,1,rooftop,6301,Rose Hill Dr,,,Alexandria,VA,Fairfax County,22310,US,Fairfax
